carriers,locs,techs,timesteps,carrier_prod
power,region1,free_transmission:region1-2,2005-01-03 07:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 08:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 09:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 10:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 11:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 12:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 13:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 14:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 15:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 16:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 17:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 18:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 19:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 20:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 21:00:00,0.0
power,region1,free_transmission:region1-2,2005-01-03 22:00:00,0.0
