carriers,locs,techs,timesteps,carrier_prod
electricity,X2,power_lines:X1,2005-07-02 02:00:00,84.35341579
electricity,X2,power_lines:X1,2005-07-02 03:00:00,86.67150495
electricity,X2,power_lines:X1,2005-07-02 04:00:00,90.89698856
electricity,X2,power_lines:X1,2005-07-02 05:00:00,147.7607823
electricity,X2,power_lines:X1,2005-07-02 06:00:00,199.0994716
electricity,X2,power_lines:X1,2005-07-02 07:00:00,238.7775077
electricity,X2,power_lines:X1,2005-07-02 08:00:00,235.1198719
electricity,X2,power_lines:X1,2005-07-02 09:00:00,231.6484656
electricity,X2,power_lines:X1,2005-07-02 10:00:00,223.032670032815
electricity,X2,power_lines:X1,2005-07-02 11:00:00,185.292925767522
electricity,X2,power_lines:X1,2005-07-02 12:00:00,167.326140318639
electricity,X2,power_lines:X1,2005-07-02 13:00:00,160.75615002249
electricity,X2,power_lines:X1,2005-07-02 14:00:00,178.10121654793
electricity,X2,power_lines:X1,2005-07-02 15:00:00,205.826402303941
electricity,X2,power_lines:X1,2005-07-02 16:00:00,178.174204714147
electricity,X2,power_lines:X1,2005-07-02 17:00:00,244.419500198496
electricity,X2,power_lines:X1,2005-07-02 18:00:00,246.580143807825
electricity,X2,power_lines:X1,2005-07-02 19:00:00,269.021468051398
electricity,X2,power_lines:X1,2005-07-02 20:00:00,245.4123572
electricity,X2,power_lines:X1,2005-07-02 21:00:00,196.2809574
electricity,X2,power_lines:X1,2005-07-02 22:00:00,135.2892419
electricity,X2,power_lines:X1,2005-07-02 23:00:00,103.7415561
electricity,X2,pv,2005-07-01 00:00:00,0.0
electricity,X2,pv,2005-07-01 01:00:00,0.0
electricity,X2,pv,2005-07-01 02:00:00,0.0
electricity,X2,pv,2005-07-01 03:00:00,0.0
electricity,X2,pv,2005-07-01 04:00:00,0.0
electricity,X2,pv,2005-07-01 05:00:00,2.95971958937884
electricity,X2,pv,2005-07-01 06:00:00,10.9778687690126
electricity,X2,pv,2005-07-01 07:00:00,20.9332892402589
electricity,X2,pv,2005-07-01 08:00:00,29.5433821117535
electricity,X2,pv,2005-07-01 09:00:00,36.162391416367
electricity,X2,pv,2005-07-01 10:00:00,40.7365033720647
electricity,X2,pv,2005-07-01 11:00:00,40.5212512574577
electricity,X2,pv,2005-07-01 12:00:00,33.9022419528441
electricity,X2,pv,2005-07-01 13:00:00,26.7989150136732
electricity,X2,pv,2005-07-01 14:00:00,24.2697000301999
electricity,X2,pv,2005-07-01 15:00:00,19.1036443826415
electricity,X2,pv,2005-07-01 16:00:00,14.5295324269439
electricity,X2,pv,2005-07-01 17:00:00,9.9016070659029
electricity,X2,pv,2005-07-01 18:00:00,3.65928971523473
electricity,X2,pv,2005-07-01 19:00:00,0.0
electricity,X2,pv,2005-07-01 20:00:00,0.0
electricity,X2,pv,2005-07-01 21:00:00,0.0
electricity,X2,pv,2005-07-01 22:00:00,0.0
electricity,X2,pv,2005-07-01 23:00:00,0.0
electricity,X2,pv,2005-07-02 00:00:00,0.0
electricity,X2,pv,2005-07-02 01:00:00,0.0
electricity,X2,pv,2005-07-02 02:00:00,0.0
electricity,X2,pv,2005-07-02 03:00:00,0.0
electricity,X2,pv,2005-07-02 04:00:00,0.0
electricity,X2,pv,2005-07-02 05:00:00,3.06734564668234
electricity,X2,pv,2005-07-02 06:00:00,10.8164296830574
electricity,X2,pv,2005-07-02 07:00:00,18.2964481994821
electricity,X2,pv,2005-07-02 08:00:00,25.6688402819117
electricity,X2,pv,2005-07-02 09:00:00,33.9560549814958
electricity,X2,pv,2005-07-02 10:00:00,40.5212512574577
electricity,X2,pv,2005-07-02 11:00:00,41.9203911324779
electricity,X2,pv,2005-07-02 12:00:00,38.7454194284921
electricity,X2,pv,2005-07-02 13:00:00,30.78108327751
electricity,X2,pv,2005-07-02 14:00:00,21.79429845207
electricity,X2,pv,2005-07-02 15:00:00,15.4981676960585
electricity,X2,pv,2005-07-02 16:00:00,10.1706725858532
electricity,X2,pv,2005-07-02 17:00:00,5.54274760150385
electricity,X2,pv,2005-07-02 18:00:00,2.31396249217469
electricity,X2,pv,2005-07-02 19:00:00,0.322878548602074
electricity,X2,pv,2005-07-02 20:00:00,0.0
electricity,X2,pv,2005-07-02 21:00:00,0.0
electricity,X2,pv,2005-07-02 22:00:00,0.0
electricity,X2,pv,2005-07-02 23:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 00:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 01:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 02:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 03:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 04:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 05:00:00,27.8749249675
electricity,X3,power_lines:X1,2005-07-01 06:00:00,26.5633071225
electricity,X3,power_lines:X1,2005-07-01 07:00:00,44.8627692725
electricity,X3,power_lines:X1,2005-07-01 08:00:00,40.3104618375
electricity,X3,power_lines:X1,2005-07-01 09:00:00,34.119665
electricity,X3,power_lines:X1,2005-07-01 10:00:00,32.7548573525
electricity,X3,power_lines:X1,2005-07-01 11:00:00,31.6404615825
electricity,X3,power_lines:X1,2005-07-01 12:00:00,34.2991705
electricity,X3,power_lines:X1,2005-07-01 13:00:00,11.4995159225
electricity,X3,power_lines:X1,2005-07-01 14:00:00,12.2126203975
electricity,X3,power_lines:X1,2005-07-01 15:00:00,16.663371525
electricity,X3,power_lines:X1,2005-07-01 16:00:00,12.7499670125
electricity,X3,power_lines:X1,2005-07-01 17:00:00,13.332155445
electricity,X3,power_lines:X1,2005-07-01 18:00:00,18.076803495
electricity,X3,power_lines:X1,2005-07-01 19:00:00,19.90594728
electricity,X3,power_lines:X1,2005-07-01 20:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 21:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 22:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-01 23:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 00:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 01:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 02:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 03:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 04:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 05:00:00,16.3404121225
electricity,X3,power_lines:X1,2005-07-02 06:00:00,10.220411995
electricity,X3,power_lines:X1,2005-07-02 07:00:00,4.3129119525
electricity,X3,power_lines:X1,2005-07-02 08:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 09:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 10:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 11:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 12:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 13:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 14:00:00,1.5504120375
electricity,X3,power_lines:X1,2005-07-02 15:00:00,6.7144182625
electricity,X3,power_lines:X1,2005-07-02 16:00:00,11.11342436
electricity,X3,power_lines:X1,2005-07-02 17:00:00,14.385411995
electricity,X3,power_lines:X1,2005-07-02 18:00:00,16.9354121225
electricity,X3,power_lines:X1,2005-07-02 19:00:00,18.5079120375
electricity,X3,power_lines:X1,2005-07-02 20:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 21:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 22:00:00,18.76291208
electricity,X3,power_lines:X1,2005-07-02 23:00:00,18.76291208
electricity,X3,pv,2005-07-01 00:00:00,0.0
electricity,X3,pv,2005-07-01 01:00:00,0.0
electricity,X3,pv,2005-07-01 02:00:00,0.0
electricity,X3,pv,2005-07-01 03:00:00,0.0
electricity,X3,pv,2005-07-01 04:00:00,0.0
electricity,X3,pv,2005-07-01 05:00:00,2.3375000425
electricity,X3,pv,2005-07-01 06:00:00,8.6699999575
electricity,X3,pv,2005-07-01 07:00:00,16.5325001275
electricity,X3,pv,2005-07-01 08:00:00,23.3324998725
electricity,X3,pv,2005-07-01 09:00:00,28.56
electricity,X3,pv,2005-07-01 10:00:00,32.1724999575
electricity,X3,pv,2005-07-01 11:00:00,32.0025001275
electricity,X3,pv,2005-07-01 12:00:00,26.775
electricity,X3,pv,2005-07-01 13:00:00,21.1649999575
electricity,X3,pv,2005-07-01 14:00:00,19.1674998725
electricity,X3,pv,2005-07-01 15:00:00,15.087500085
electricity,X3,pv,2005-07-01 16:00:00,11.4750001275
electricity,X3,pv,2005-07-01 17:00:00,7.819999915
