carriers,locs,techs,timesteps,capacity_factor
electricity,X2,power_lines:X1,2005-07-02 20:00:00,0.8939959765963756
electricity,X2,power_lines:X1,2005-07-02 21:00:00,0.7150185434838593
electricity,X2,power_lines:X1,2005-07-02 22:00:00,0.49283597336056967
electricity,X2,power_lines:X1,2005-07-02 23:00:00,0.3779130554687781
electricity,X2,pv,2005-07-01 00:00:00,0.0
electricity,X2,pv,2005-07-01 01:00:00,0.0
electricity,X2,pv,2005-07-01 02:00:00,0.0
electricity,X2,pv,2005-07-01 03:00:00,0.0
electricity,X2,pv,2005-07-01 04:00:00,0.0
electricity,X2,pv,2005-07-01 05:00:00,0.046750000850000036
electricity,X2,pv,2005-07-01 06:00:00,0.17339999914999954
electricity,X2,pv,2005-07-01 07:00:00,0.3306500025500006
electricity,X2,pv,2005-07-01 08:00:00,0.46664999745000035
electricity,X2,pv,2005-07-01 09:00:00,0.5711999999999993
electricity,X2,pv,2005-07-01 10:00:00,0.6434499991500003
electricity,X2,pv,2005-07-01 11:00:00,0.6400500025500002
electricity,X2,pv,2005-07-01 12:00:00,0.5354999999999999
electricity,X2,pv,2005-07-01 13:00:00,0.4232999991499998
electricity,X2,pv,2005-07-01 14:00:00,0.38334999744999926
electricity,X2,pv,2005-07-01 15:00:00,0.3017500017000001
electricity,X2,pv,2005-07-01 16:00:00,0.22950000255000055
electricity,X2,pv,2005-07-01 17:00:00,0.15639999829999987
electricity,X2,pv,2005-07-01 18:00:00,0.057800001699999916
electricity,X2,pv,2005-07-01 19:00:00,0.0
electricity,X2,pv,2005-07-01 20:00:00,0.0
electricity,X2,pv,2005-07-01 21:00:00,0.0
electricity,X2,pv,2005-07-01 22:00:00,0.0
electricity,X2,pv,2005-07-01 23:00:00,0.0
electricity,X2,pv,2005-07-02 00:00:00,0.0
electricity,X2,pv,2005-07-02 01:00:00,0.0
electricity,X2,pv,2005-07-02 02:00:00,0.0
electricity,X2,pv,2005-07-02 03:00:00,0.0
electricity,X2,pv,2005-07-02 04:00:00,0.0
electricity,X2,pv,2005-07-02 05:00:00,0.04844999915000005
electricity,X2,pv,2005-07-02 06:00:00,0.1708500017000003
electricity,X2,pv,2005-07-02 07:00:00,0.28900000255
electricity,X2,pv,2005-07-02 08:00:00,0.4054499991499993
electricity,X2,pv,2005-07-02 09:00:00,0.536349999149999
electricity,X2,pv,2005-07-02 10:00:00,0.6400500025500002
electricity,X2,pv,2005-07-02 11:00:00,0.6621499983000001
electricity,X2,pv,2005-07-02 12:00:00,0.6120000008500005
electricity,X2,pv,2005-07-02 13:00:00,0.48620000169999966
electricity,X2,pv,2005-07-02 14:00:00,0.34425000084999985
electricity,X2,pv,2005-07-02 15:00:00,0.24479999914999984
electricity,X2,pv,2005-07-02 16:00:00,0.1606499999999995
electricity,X2,pv,2005-07-02 17:00:00,0.08755000169999995
electricity,X2,pv,2005-07-02 18:00:00,0.03654999915
electricity,X2,pv,2005-07-02 19:00:00,0.0051000008500000004
electricity,X2,pv,2005-07-02 20:00:00,0.0
electricity,X2,pv,2005-07-02 21:00:00,0.0
electricity,X2,pv,2005-07-02 22:00:00,0.0
electricity,X2,pv,2005-07-02 23:00:00,0.0
electricity,X3,power_lines:X1,2005-07-01 00:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 01:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 02:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 03:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 04:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 05:00:00,0.6089108387897728
electricity,X3,power_lines:X1,2005-07-01 06:00:00,0.5802593420377006
electricity,X3,power_lines:X1,2005-07-01 07:00:00,0.9800000000000009
electricity,X3,power_lines:X1,2005-07-01 08:00:00,0.880557603584346
electricity,X3,power_lines:X1,2005-07-01 09:00:00,0.7453233993848974
electricity,X3,power_lines:X1,2005-07-01 10:00:00,0.7155100036396226
electricity,X3,power_lines:X1,2005-07-01 11:00:00,0.6911667035645325
electricity,X3,power_lines:X1,2005-07-01 12:00:00,0.7492445882203767
electricity,X3,power_lines:X1,2005-07-01 13:00:00,0.2511999545903647
electricity,X3,power_lines:X1,2005-07-01 14:00:00,0.26677728957954416
electricity,X3,power_lines:X1,2005-07-01 15:00:00,0.3640012500189115
electricity,X3,power_lines:X1,2005-07-01 16:00:00,0.2785153006573132
electricity,X3,power_lines:X1,2005-07-01 17:00:00,0.29123285405631244
electricity,X3,power_lines:X1,2005-07-01 18:00:00,0.3948768146142759
electricity,X3,power_lines:X1,2005-07-01 19:00:00,0.4348333518135701
electricity,X3,power_lines:X1,2005-07-01 20:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 21:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 22:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-01 23:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 00:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 01:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 02:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 03:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 04:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 05:00:00,0.3569463976417086
electricity,X3,power_lines:X1,2005-07-02 06:00:00,0.22325870465690625
electricity,X3,power_lines:X1,2005-07-02 07:00:00,0.09421294721636499
electricity,X3,power_lines:X1,2005-07-02 08:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 09:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 10:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 11:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 12:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 13:00:00,0.0
electricity,X3,power_lines:X1,2005-07-02 14:00:00,0.03386781113579999
electricity,X3,power_lines:X1,2005-07-02 15:00:00,0.14667239682155545
electricity,X3,power_lines:X1,2005-07-02 16:00:00,0.24276601844719545
electricity,X3,power_lines:X1,2005-07-02 17:00:00,0.3142406049316627
electricity,X3,power_lines:X1,2005-07-02 18:00:00,0.36994381196667386
electricity,X3,power_lines:X1,2005-07-02 19:00:00,0.40429411939730836
electricity,X3,power_lines:X1,2005-07-02 20:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 21:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 22:00:00,0.40986444075068024
electricity,X3,power_lines:X1,2005-07-02 23:00:00,0.40986444075068024
electricity,X3,pv,2005-07-01 00:00:00,0.0
electricity,X3,pv,2005-07-01 01:00:00,0.0
electricity,X3,pv,2005-07-01 02:00:00,0.0
electricity,X3,pv,2005-07-01 03:00:00,0.0
electricity,X3,pv,2005-07-01 04:00:00,0.0
electricity,X3,pv,2005-07-01 05:00:00,0.04675000085
electricity,X3,pv,2005-07-01 06:00:00,0.17339999915
electricity,X3,pv,2005-07-01 07:00:00,0.33065000255
electricity,X3,pv,2005-07-01 08:00:00,0.46664999745
electricity,X3,pv,2005-07-01 09:00:00,0.5711999999999999
electricity,X3,pv,2005-07-01 10:00:00,0.64344999915
electricity,X3,pv,2005-07-01 11:00:00,0.64005000255
electricity,X3,pv,2005-07-01 12:00:00,0.5355
electricity,X3,pv,2005-07-01 13:00:00,0.42329999915
electricity,X3,pv,2005-07-01 14:00:00,0.38334999745
electricity,X3,pv,2005-07-01 15:00:00,0.3017500017
electricity,X3,pv,2005-07-01 16:00:00,0.22950000255
electricity,X3,pv,2005-07-01 17:00:00,0.1563999983
electricity,X3,pv,2005-07-01 18:00:00,0.0578000017
electricity,X3,pv,2005-07-01 19:00:00,0.0
electricity,X3,pv,2005-07-01 20:00:00,0.0
electricity,X3,pv,2005-07-01 21:00:00,0.0
electricity,X3,pv,2005-07-01 22:00:00,0.0
electricity,X3,pv,2005-07-01 23:00:00,0.0
electricity,X3,pv,2005-07-02 00:00:00,0.0
electricity,X3,pv,2005-07-02 01:00:00,0.0
electricity,X3,pv,2005-07-02 02:00:00,0.0
electricity,X3,pv,2005-07-02 03:00:00,0.0
electricity,X3,pv,2005-07-02 04:00:00,0.0
electricity,X3,pv,2005-07-02 05:00:00,0.04844999915
electricity,X3,pv,2005-07-02 06:00:00,0.1708500017
electricity,X3,pv,2005-07-02 07:00:00,0.28900000254999997
electricity,X3,pv,2005-07-02 08:00:00,0.40544999914999996
electricity,X3,pv,2005-07-02 09:00:00,0.53634999915
electricity,X3,pv,2005-07-02 10:00:00,0.64005000255
electricity,X3,pv,2005-07-02 11:00:00,0.6621499983
electricity,X3,pv,2005-07-02 12:00:00,0.61200000085
electricity,X3,pv,2005-07-02 13:00:00,0.4862000017
electricity,X3,pv,2005-07-02 14:00:00,0.34425000085
electricity,X3,pv,2005-07-02 15:00:00,0.24479999915
electricity,X3,pv,2005-07-02 16:00:00,0.16065000000000002
electricity,X3,pv,2005-07-02 17:00:00,0.0875500017
electricity,X3,pv,2005-07-02 18:00:00,0.03654999915
electricity,X3,pv,2005-07-02 19:00:00,0.0051000008500000004
electricity,X3,pv,2005-07-02 20:00:00,0.0
electricity,X3,pv,2005-07-02 21:00:00,0.0
electricity,X3,pv,2005-07-02 22:00:00,0.0
electricity,X3,pv,2005-07-02 23:00:00,0.0
gas,X1,supply_gas,2005-07-01 00:00:00,0.4448291581501427
gas,X1,supply_gas,2005-07-01 01:00:00,0.37587320105263133
gas,X1,supply_gas,2005-07-01 02:00:00,0.3778396454898948
